company_name;location;logo;title;Category;description;requirement;updated_at;contract_type;url
SAMIC PLC;Kandal;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;Teller (Angsnoul);Accounting / Finance ;- Greet warmly the clients and other stakeholders at the counter,<br/>- Receive and promote SAMIC’s products/services to prospective clients as well as to build, remind and strengthen the credit discipline to clients and uncover complaints and challenges raised by clients,<br/>- Review and check the accuracy and completeness of loan application form and identify the right client before loan disbursement,<br/>- Record all transactions including loan disbursement, collection, deposit, withdrawal, Cash book, Bank book, Revenues and expenses receipt, and other required documents,<br/>- Keep and arrange the cash in the vault and ensure that the transaction was done and closed its balance daily as assigned by Cashier,<br/>- Check the completeness, date of issues and its actual transaction and authorized person, responsibility, accuracy, classification and other memos,<br/>- Record all transactions occurring within a day into the Books with sufficient references before submitting to the Cashier to review,<br/>- Check and verify the referent documents like OR and Pay-out Slip of each credit officer with the collection and advance collection before recording into the books and posting into the systems,<br/>- Report the amount of cash on hand, cash in bank, numbers of clients, loan portfolio and the information of past due to the head office on a daily basis during the absence of cashier,<br/>- Record, review and take a good care of all SAMIC’s assets,<br/>- Perform other tasks as may be assigned by the Cashier/DBM,;- Bachelor Degree or under graduate in Accounting, Finance and Banking or the related field.<br/>- Good interpersonal skills,<br/>- Hardworking and self-motivated person.<br/>- Willing to learn new things and quick learner<br/>- Attention to details and simplicity;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/teller-angsnoul.html
SAMIC PLC;Siem Reap;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (SRP);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/srp-8.html
Hongkong Land (Premium Investments) Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/04/604/image//hkl_english-left.jpg;Accountant;Accounting / Finance ;- Bookkeeping<br/>- Prepare and ensure all income and expenses, including PV, CV and RV, are correctly calculated, recorded and paid on time with proper supporting documents and approval<br/>- Prepare period end journal entries for prepayment, accruals, and depreciation etc.<br/>- Prepare monthly balance sheet accounts reconciliation with sub-ledger and sufficient supporting documents.<br/><br/>- Reporting<br/>- Assist Accounting Manager preparing financial statements and reporting, including BS, PL, cash flow, forecast, with analytical review and commentary on variances.<br/><br/>- Fixed Assets<br/>- Assist Accounting Manager to ensure proper control of fixed assets and inventory are in place and conduct physical count and reconciliation.<br/>- Management of Fixed asset recording and reconciliation.<br/><br/>- Regulatory and Compliance<br/>- Ensure Companies policy and procedure is consistently applied and provides guidance to other staff to ensure effective implementation<br/>- Assist accounting manager preparing and filing monthly and annual tax returns. Proactively gain tax knowledge to keep Companies risk in minimum.<br/>- Assist accounting manager with arranging and coordinating a smooth process of statutory, tax and internal/group audit<br/><br/>- Financial Performance and Planning<br/>- Track and monitor actual expenditure within approved budget<br/>- Assist Accounting manager in financial analysis, operations analysis and detail data review<br/><br/>- Others<br/>- Ensure completeness and proper documentation of the functions.<br/>- Other duties as required by Accounting Manager.;- Possess Minimum 3 year solid experiences in Accounting and local taxation<br/>- Good interpersonal skills, accountable, initiative driven, and proactive.<br/>- Good English speaking and writing skill<br/>- Good computer skill including computerised accounting system, and Microsoft Office applications such as Word, Excel, Outlook etc.;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/hongkong-land-premium-investments-limited/accountant-518.html
Hongkong Land (Premium Investments) Limited;Phnom Penh;https://media.everjobs.com.kh/storage//company/04/604/image//hkl_english-left.jpg;Treasurer;Accounting / Finance ;- Cash and Bank Management<br/>- Monitor cash and bank balance and alert to management for any excess or shortage of cash<br/>- Prepare cash projection for needs of payments, transfer or funding etc.<br/>- Assist Accounting Manager managing funding sources<br/>- Weekly report cash and bank balance to Group Treasurer.<br/>- Perform monthly cash, bank and check book reconciliation.<br/>- Perform cash count with proper report bi-weekly.<br/><br/>- Payment Function<br/>- Ensure payment vouchers are prepared timely with sufficient supporting document.<br/>- Ensure bank and cash payment are properly and timely released to customers.<br/>- Custody of cash and check book.<br/><br/>- Receipt Function<br/>- Ensure receipt vouchers are prepared timely with sufficient supporting document.<br/>- Ensure collection from corporate tenants with appropriate records and statements<br/>- Bank in any cash collection with proper record and reconciliation.<br/>- Inform to manager and relevant persons on each collection timely<br/><br/>- Others<br/>- Ensure completeness and proper documentation of the functions.<br/>- Other duties as required by Accounting Manager.;- Possess bachelor degree in Accounting or related field<br/>- Minimum 2 year experience in treasury or cashier function.<br/>- Good interpersonal skills, accountable, initiative driven, and proactive<br/>- Good English speaking and writing skill<br/>- Good computer skill including computerised accounting system, and Microsoft Office applications such as Word, Excel, Outlook etc.;04 July 2016;Full time;https://www.everjobs.com.kh/en/employer/hongkong-land-premium-investments-limited/treasurer.html
First Solutions ( Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/44/3044/image//fs-logo.png;Tax Executive ( $550-$600 );Accounting / Finance ;• Export Sales invoice dimensional report of each month and reclassify it base on the product.<br/>• Calculate for prepayment tax and specific tax.<br/>• Make sure all the sales transaction are correctly declare.<br/>• Export Purchase VAT Report from OB system for making Purchase Report for Tax Department.<br/>• Export Sales Invoice VAT Report for making Sales Report for Tax Department<br/>• Reconciliation of VAT Input and VAT Output in the OB system and Purchase Record and Sales Record for the Tax Department are correctly declared.<br/>• Go through Purchase VAT Report to calculate for Withholding tax 14%, 15% and Fringe Benefit tax of Expatriate.<br/>• Compare the GL of Withholding tax and Fringe Benefit Tax with Report for declare<br/>• Fill in all the information to Tax Form.<br/>• Prepare the Tax Declaration base on the month<br/>• Arrange monthly tax, and review Tax on Profit;- Female / Male<br/>- Experience in Taxation field more than 3 years<br/>- Experience in Beverage field is preferable<br/>- Knowledge of accounting & finance systems<br/>- Honest, Hardworking, flexible<br/>- Experience in Big 4 is Preferable.;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/first-solutions-cambodia-co-ltd/tax-executive-550-600-9.html
First Solutions ( Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/44/3044/image//fs-logo.png;Accounting Manager ( $1000-$1200 ).;Accounting / Finance ;Mainly is to assist the Finance Manager to carry out the work such as:<br/>General Work<br/>• Manages, Review and reconciliation account regularly.<br/>• Check completeness all accounting transactions.<br/>• Liaise with tax offers, internal and external auditors.<br/>• Perform other duties assigned by Head Of Department or Financial Controller<br/><br/>Month End Closing<br/>• Prepare monthly financial reports such as balance sheet, profit and loss and trail balance for management with a very tight deadline.<br/>• Prepare monthly manufacturing and production account for reporting purpose.<br/>• Prepare other management reports such as Schedule of Account, Journal Voucher.<br/>• Send monthly reports to KL Head Office.;- Female / Male<br/>- Experience in Accounting & Tax at least 4 years up<br/>- Degree in Accounting & Finance filed , ACCA , CPA<br/>- Experience in Big 4 is a plus<br/>- Good command of English is a must;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/first-solutions-cambodia-co-ltd/accounting-manager-1000-1200.html
Toys & Me Co.,Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/11/1511/image//toynme.jpg;បុគ្គលិកផ្នែកឃ្លំាង;Accounting / Finance ;- រៀបចំទំនិញក្នុងឃ្លាំងអោយបានស្អាត និងមានសណ្ដាប់ធ្នាប់<br/>- ទទួល និងលើដាក់ទំនិញ<br/>- រៀបចំឃ្លាំង និងបោសសំអាតឃ្លាំង<br/>- ដឹកទំនិញជូនភ្ញៀវ និង តាមសាខារបស់ក្រុមហ៊ុន;- ត្រូវមានអាយុយ៉ាងតិច១៨ ឆ្នាំឡើងទៅ<br/>- អ្នកមិនមានបទពិសោធន៍ក៏អាចដាក់ពាក្យបាន<br/>- អាចធ្វើការឯករាជ្យម្ចាស់ការលើខ្លួនឯងបាន និងធ្វើការជាក្រុម<br/>- មានភាពស្មោះត្រង់ តស៊ូ ម៉ត់ចត់ និងមានការទទួលខុសត្រូវខ្ពស់<br/>- អាចធ្វើការបានមិនថាថ្ងៃធ្វើការរឺថ្ងៃចុងសប្តាហ៍ ថ្ងៃបុណ្យជាតិ ។;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/toys-me-co-ltd/n-a-2472.html
Tonle Bassac Restaurant ll;Phnom Penh;https://media.everjobs.com.kh/storage//company/55/355/image//tonle.jpg;Stock controller;Accounting / Finance ;- Ensure all inventory and stock management systems are maintained accurately, within the agreed parameters and in a timely manner.<br/>- Responsibility for purchasing and the “in-stock” levels within the agreed inventory<br/>- Purchase inventory within the agreed budgets.<br/>- Immediately alert the Retail Manager <br/>- Maintain a process for returns. Manage a defined area in the storeroom for returns/credits. This area will include out of dates, damaged and unsalable goods.<br/>- Maintain harmonious working relationship with Suppliers/Vendors within the buying parameters set by the business.;;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/tonle-bassac-restaurant-ll/stock-controller-112.html
ABA Bank;Phnom Penh;https://media.everjobs.com.kh/storage//company/97/3797/image//aba-bank-2.jpg;Micro Business Loan Officer;Accounting / Finance ;- Solicits potential and existing clients in accordance with the guidelines stated in the micro business loan policies and procedures.<br/>- Analyze and interpret financial statements of the business in order to access the repayment capacity and financial soundness of the borrower<br/>- Receives and screens loan applications.<br/>- Conducts credit investigation for borrowers and their co-makers.<br/>- Evaluates cash flow of loan applicants.<br/>- Conducts sit visit of secure collateral.<br/>- Ascertains the completeness of loan documents.<br/>- Follows up delinquent clients immediately and refers to immediate supervisor.<br/>- Recommends remedial measures for delinquent clients in accordance with the recovery policies and procedures of the Bank.<br/>- Responsible for the attainment of his/her performance targets.;- Bachelor with major in Banking and Finance, Accounting, Management and Marketing or related field.<br/>- At least one year experience in Micro Finance Institution/commercial bank or related field.<br/>- English Proficiency.<br/>- Good level of computer program (MS Word & Excel).<br/>- Good understanding of business process.<br/>- Hardworking, commitment, ability to communicate and self-motivated person.<br/>- Good interpersonal skills.<br/>- Attention to details.;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/aba-bank-1/micro-business-loan-officer-3.html
ABA Bank;Phnom Penh;https://media.everjobs.com.kh/storage//company/97/3797/image//aba-bank-2.jpg;Client Service Advisor;Accounting / Finance ;- Identify and action on sales opportunity for new business opportunity by responding to inquiries from both new and existing customers.<br/>- Provide consultative service in regard to banking products and services which is considered as a good solution to suite the clients’ needs.<br/>- Assist in opening account in system per request from RM or Customers. Making sure that the documents submitted are accurate and valid. Take action to follow up in case provided documents are not complete.<br/>- Contribute to the development of sound profitable business by creating effective referral networks, including internal business relationship and existing customers in order to achieve the targets.<br/>- Ensure the compliance with ABA’s internal policies, processes & procedure, core values, and code of conducts, etc. are maintained.;- Bachelor degree in Business, Finance or Marketing field.<br/>- Minimum 2 years working experience in sales & marketing.<br/>- Negotiation and internal relationship building.<br/>- Organizational and time management skills.<br/>- Ability to work effectively in a team environment.<br/>- Competent in spoken and written English communication.<br/>- Computer literacy.;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/aba-bank-1/client-service-advisor-3.html
ABA Bank;Phnom Penh;https://media.everjobs.com.kh/storage//company/97/3797/image//aba-bank-2.jpg;Teller;Accounting / Finance ;- Counter operations,<br/>- Handle cash for all the transactions,<br/>- Money counterfeit notice,<br/>- Deposit/withdraw Cash and Cheque,<br/>- Be Confidential with the Customers’ balance or other transactions,<br/>- Exchange money,<br/>- Printing Bank statement,<br/>- Closing Account,<br/>- Provide a comfortable way for customers with the bank services,<br/>- Check the closed balance with cash on daily basis.;- Bachelor Degree in Finance, Accounting or other relevant fields<br/>- Minimum 1 year experience of relevant experiences in customer services or other front line role<br/>- Ability to accurately and efficiently process cash transaction<br/>- Attention to details<br/>- Good planning, problem solving & organizing skills<br/>- Computer skills in Ms Word, Excel, PowerPoint, etc.<br/>- Good command in spoken and written English is required.;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/aba-bank-1/teller-42.html
Union Commercial Bank;Phnom Penh;https://media.everjobs.com.kh/storage//company/15/1715/image//ucb.png;Trade Finance (L/C);Accounting / Finance ;- Handle bill transactions under supervision of Department Head<br/>- Respond to incoming and outgoing SWIFT messages and customers’ phone enquiries promptly and professionally<br/>- Issues import and export letters of credit and accept payments: Notifies exporters and importers of issuance of letters of credit covering shipment of merchandise<br/>- Reviews letter of credit documents to determine compliance with bank policies & procedures as well as international standards<br/>- Verifies terms of credit, such as amount, insurance coverage, and shipping conditions to determine compliance with established standards<br/>- Obtains necessary information to process and complete letters of credit and related financial transactions.<br/>- Works with the full spectrum of L/C products and services<br/>- Evaluates and enhances processes for mitigating risks associated with L/C transactions<br/>- Monitors emerging L/C industry business practices and assesses their validity and relevance<br/>- Performed other duties as assigned by supervisor.<br/>- Preferred Skill;- Bachelor degree in Finance and Banking or other qualified professional<br/>- At least 2 years working experience in L/C or Trade Finance within banking industry<br/>- Obtained good English proficiency in both writing and speaking<br/>- Proficiency in other languages will be an added advantage (Mandarin etc)<br/>- Well organized, highly motivated. This role works under strict deadlines<br/>- Able to work overtime as needed;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/union-commercial-bank/trade-finance-l-c.html
ELT Institute;Phnom Penh;https://media.everjobs.com.kh/storage//company/26/126/image//elt-institute.jpg;Accountant;Accounting / Finance ;- Preparing accounts and tax returns<br/>- Administering payrolls and controlling income and expenditure<br/>- Auditing financial information<br/>- Compiling and presenting reports, budgets, business plans, commentaries and financial statements<br/>- Analyzing accounts and business plans<br/>- Financial forecasting and risk analysis<br/>- Dealing with insolvency cases<br/>- Meeting and interviewing clients<br/>- Attend all meeting required by the organization<br/>- Prepare daily, weekly, and monthly report to subordinator<br/>- Performs other duties as may be required.;- BA/ BS<br/>- Minimum 1 year working experience<br/>- Fluent in English<br/>- Receptive and Flexible<br/>- Honest and Organize<br/>- Great Communication, Problem Solving, and Time Management skills<br/>- Able to work under pressure and a dynamic environment;30 June 2016;Full time;https://www.everjobs.com.kh/en/employer/elt-institute/accountant-580.html
Canadia Bank;Oddor Meanchey;https://media.everjobs.com.kh/storage//company/92/92/image//canadia-bank-a.png;Loan Officers (Odd);Accounting / Finance ;- Identify and/or assess potential customers through collecting, analyzing and developing appropriate information necessary for loan assessment<br/>- Recommend and provide report of loan request and loan status<br/>- Promotes bank products and services to existing and new customers<br/>- Prepares loan report as required by supervisor and/or manager<br/>- Perform other duties as assigned;- Bachelor’s degree in Banking &amp, Finance, Economics, or Business Administration is preferred<br/>- Fresh graduated or Year IV students are encourage to apply, but 1-year working experience in a Financial Institution, Accounting, or related fields is preferred<br/>- Good in Speaking/Reading/Writing English and fluent in Khmer are necessarily required<br/>- Computer literacy i.e. Khmer and English Typing, MS Word, Excel, and PowerPoint<br/>- High committed, honest, and hard working.;29 June 2016;Full time;https://www.everjobs.com.kh/en/employer/canadia-bank/loan-officers-odd.html
Canadia Bank;Kampot;https://media.everjobs.com.kh/storage//company/92/92/image//canadia-bank-a.png;Loan Officers (Kampot);Accounting / Finance ;- Identify and/or assess potential customers through collecting, analyzing and developing appropriate information necessary for loan assessment<br/>- Recommend and provide report of loan request and loan status<br/>- Promotes bank products and services to existing and new customers<br/>- Prepares loan report as required by supervisor and/or manager<br/>- Perform other duties as assigned;- Bachelor’s degree in Banking &amp, Finance, Economics, or Business Administration is preferred<br/>- Fresh graduated or Year IV students are encourage to apply, but 1-year working experience in a Financial Institution, Accounting, or related fields is preferred<br/>- Good in Speaking/Reading/Writing English and fluent in Khmer are necessarily required<br/>- Computer literacy i.e. Khmer and English Typing, MS Word, Excel, and PowerPoint<br/>- High committed, honest, and hard working.;29 June 2016;Full time;https://www.everjobs.com.kh/en/employer/canadia-bank/loan-officers-kampot-1.html
SAMIC PLC;Kandal;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (Kandal);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;29 June 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/kandal.html
SAMIC PLC;Kampong Thom;https://media.everjobs.com.kh/storage//company/84/284/image//samic-plc.jpg;មន្រី្តឥណទាន (K.Thom);Accounting / Finance ;- ចុះបំពេញការងារតាមសហគមគោលដៅ និងមានសមត្ថភាពធ្វើការប៉ាន់ប្រមាណក្រុមគ្រួសារមុននឹងសម្រេចផ្តល់ប្រាក់កម្ចី។<br/>- មានសមត្ថភាពស្វែងរក និងគ្រប់គ្រងអតិថិជនបានល្អ។<br/>- មានប្រាស្រ័យទាក់ទងល្អ និងផ្សព្វផ្សាយផលិតផលរបស់ សាមិក។<br/>- មានសមត្ថភាពអាចរៀបចំឯកសារប្រាក់កម្ចីជាមួយក្រុមការងារ ប្រធានក្រុមមន្ត្រីឥណទាន/ប្រធានសាខាស្រុក។<br/>- អាចរៀបចំឯកសារប្រាក់កម្ចី និងមានសមត្ថភាពទម្លាក់ប្រាក់កម្ចីឲ្យអតិថិជន។<br/>- ចេះរៀបចំផែនការការងារ និងរៀបចំផែនការប្រមូលប្រាក់កម្ចីពីអតិថិជន។<br/>- មានប្រាស្រ័យទាក់ទងល្អជាមួយអាជ្ញាធរមូលដ្ឋាន ក្រុមគ្រួសារ ដើម្បីពង្រីកចំនួនអតិថិជនឲ្យបានចំនួនច្រើន។<br/>- ចេះលើកទឹកចិត្ត និង បង្កើនសមាជិកភាពឲ្យកាន់តែច្រើន តាមរយៈការទំនាក់ទំនងល្អ<br/>- ជាមួយអតិថិជន ដើម្បីបង្កើនភាពស្មោះត្រង់ និង ភាពជឿរជាក់។<br/>- ទទួលការងារពាក់ព័ន្ធដែលបានចាត់តាំងដោយប្រធានសាខាស្រុក។;- និស្សិតកំពុងបន្តការសិក្សាថ្នាក់មហាវិទ្យាល័យ ឬ ទើបបានបញ្ចប់/ បរិញ្ញាបត្ររង ឬ សញ្ញាបត្រដែលមានតម្លៃស្មើ។<br/>- មានបទពិសោធន៍ពាក់ព័ន្ធនឹង ការងារកាន់តែប្រសើរ។<br/>- ចេះនិយាយ និង ប្រើប្រាស់ភាសាអង់គ្លេសបានកាន់តែល្អ។<br/>- មានចរិតស្លូតបូត សុភាពរាបសា និងមានការទំនាក់ទំនងល្អជាមួយមនុស្សទូទៅ។<br/>- ខិតខំធើ្វការងារ និងចេះលើកទឹកចិត្តខ្លួនឯង។<br/>- មានឆន្ទៈខ្ពស់ក្នុងការទទួលយកការងារថ្មីៗ<br/>- តស៊ូព្យាយាមក្នុងការងារ និងមានភាពស្មោះត្រង់។;29 June 2016;Full time;https://www.everjobs.com.kh/en/employer/samic-plc/k-thom-4.html
Y CHHE Construction Material;Phnom Penh;https://media.everjobs.com.kh/storage//company/83/83/image//y-chhe-group.png;Procurement Manager (Urgent);Accounting / Finance ;+ YCHHE Construction Material<br/>- Responsible for sourcing suppliers and procuring materials for contraction project<br/>- Monitor and maintain records for materials ordered and received<br/>- Review sales contracts/agreement<br/>- Monitor and control the budget of every project<br/>- Ensure received materials are as stated in sale contract/agreement<br/>- Review and conduct claims from suppliers<br/>- Other duties related to General Manager;- Reports directly to general manager<br/>- Extensive knowledge of construction projects<br/>- Attention to details and good communication skills<br/>- Practice, motivated and able to work under pressure<br/>- Responsible, honest and hard working<br/>- able to speak English/Chiness;29 June 2016;;https://www.everjobs.com.kh/en/employer/y-chhe-construction-material/procurement-manager-urgent-3.html
PHNOM PENH COMMERCIAL BANK (PPCB);Battambang;https://media.everjobs.com.kh/storage//company/89/589/image//phnom-penh-pianich.jpg;Experience Loan Officers (BTB);Accounting / Finance ;- Identify and/or assess potential customers through collecting, analyzing and developing appropriate information necessary for loan assessment<br/>- Recommend and provide report of loan request and loan status<br/>- Promote bank products and services to existing and new customers<br/>- Prepare loan report as required by supervisor and/or manager<br/>- Must perform other duties as assigned;- Degree in Finance and Banking or equivalent professional qualifications.<br/>- At least 1 years work experience in related field with the banking job(Priority).<br/>- Creative, dynamic, flexible, self-direct and self-motivated team player.<br/>- Excellent communication & Interpersonal Skills.<br/>- Willing to work under pressure.<br/>- Good command of written and spoken English.<br/>- Computer literacy.;29 June 2016;Full time;https://www.everjobs.com.kh/en/employer/phnom-penh-commercial-bank-ppcb/experience-loan-officers-btb.html
PHNOM PENH COMMERCIAL BANK (PPCB);Preah Sihanouk;https://media.everjobs.com.kh/storage//company/89/589/image//phnom-penh-pianich.jpg;Experience Loan Officers (Preahsihanuk 20 Positions);Accounting / Finance ;+ PHNOM PENH COMMERCIAL BANK (PPCB)<br/>- Identify and/or assess potential customers through collecting, analyzing and developing appropriate information necessary for loan assessment<br/>- Recommend and provide report of loan request and loan status<br/>- Promote bank products and services to existing and new customers<br/>- Prepare loan report as required by supervisor and/or manager<br/>- Must perform other duties as assigned;- Degree in Finance and Banking or equivalent professional qualifications.<br/>- At least 1 years work experience in related field with the banking job(Priority).<br/>- Creative, dynamic, flexible, self-direct and self-motivated team player.<br/>- Excellent communication & Interpersonal Skills.<br/>- Willing to work under pressure.<br/>- Good command of written and spoken English.<br/>- Computer literacy.;29 June 2016;;https://www.everjobs.com.kh/en/employer/phnom-penh-commercial-bank-ppcb/experience-loan-officers-preahsihanuk-20-positions-1.html
PHNOM PENH COMMERCIAL BANK (PPCB);Preah Sihanouk;https://media.everjobs.com.kh/storage//company/89/589/image//phnom-penh-pianich.jpg;Deputy Branch Manager (Preahsihanuk);Accounting / Finance ;- Assists the Branch Manager in various aspects of branch management to ensure the efficient and effective operation of the branch as follows:<br/>- Meets with current and potential customers to discuss their financial needs, offers appropriate products and services while developing and expanding account relationships, or refers customers to other Bank departments as appropriate.<br/>- Jointly establishes quantitative sales objectives, with assigned supervisor, on an annual basis, this activity to be integrated with the office's annual marketing/sales plan.<br/>- Assists in the proper staffing and training of office personnel, ensures staff is trained in all areas of customer service, including transaction processing, operations, product knowledge, and sales.<br/>- Assists in managing branch staff to maximize productivity and to achieve sales and referral goals.<br/>- In the absence of the Branch Manager, makes certain that all office operations are performed accordance with established policies and procedures, either directly or through appropriate supervisor, e.g., office balancing, control of vault cash, etc.<br/>- Performs duties of a Customer Service Representative.<br/>- Participates with the Branch Manager in establishing specific goals for the office, implements strategies to achieve these goals.<br/>- Cooperates with, participates in, and supports the adherence to all internal policies, procedures, and practices in support of risk management.<br/>- Communicates with the Branch manager, other supervisors, and appropriate staff personal in order to integrate activities.<br/>- Provides timely reporting to the Branch Manager and other appropriate groups or individuals.;- Bachelor/Master Degree in Marketing, Finance, Banking, Business Administration or equivalent.<br/>- Proven track record in delivering high quality results in short time frames.<br/>- Possess superior communication and leadership skills.<br/>- At least 4 years work experience in banking industry.<br/>- Have a sound understanding of the credit operation and supervision will be an added advantage.<br/>- High proficiency spoken and written of English.<br/>- Creative, dynamic, flexible, self-direct and self-motivated team player.<br/>- Committed, hard-working, and honest individual.<br/>- Willing to work under pressure.;29 June 2016;;https://www.everjobs.com.kh/en/employer/phnom-penh-commercial-bank-ppcb/deputy-branch-manager-preahsihanuk-1.html
